AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2018-19,19,6.6,6.2,6.2,6.2,68,"3,230",0,"3,298","53,478",> 100%
National,,All,2018-19,20,6.5,6.1,6,6,50,"3,159",0,"3,209","53,578",> 100%
National,,All,2018-19,21,6.3,6,5.9,5.9,30,"3,150",0,"3,180","53,695",> 100%
National,,All,2018-19,22,6.2,5.9,6,6,29,"3,119",0,"3,148","52,727",> 100%
National,,All,2018-19,23,6.1,5.8,5.8,5.8,21,"3,048",0,"3,069","53,141",> 100%
National,,All,2018-19,24,6,5.7,5.6,5.6,16,"2,936",0,"2,952","52,646",> 100%
National,,All,2018-19,25,5.9,5.6,5.7,5.7,13,"2,954",0,"2,967","52,290",> 100%
National,,All,2018-19,26,5.8,5.5,5.6,5.6,15,"2,900",0,"2,915","52,209",> 100%
National,,All,2018-19,27,5.7,5.4,5.5,5.5,13,"2,864",0,"2,877","52,344",> 100%
National,,All,2018-19,28,5.7,5.3,5.4,5.4,11,"2,771",0,"2,782","51,931",> 100%
National,,All,2018-19,29,5.6,5.3,5.2,5.2,5,"2,681",0,"2,686","51,649",> 100%
National,,All,2018-19,30,5.5,5.2,5.4,5.4,8,"2,763",0,"2,771","51,662",> 100%
National,,All,2018-19,31,5.5,5.2,5.3,5.3,6,"2,737",0,"2,743","51,410",> 100%
National,,All,2018-19,32,5.5,5.1,5.1,5.1,7,"2,647",0,"2,654","51,747",> 100%
National,,All,2018-19,33,5.4,5.1,5.1,5.1,8,"2,606",0,"2,614","51,023",> 100%
National,,All,2018-19,34,5.4,5.1,5.1,5.1,6,"2,602",0,"2,608","51,022",> 100%
National,,All,2018-19,35,5.4,5.1,5.1,5.1,13,"2,618",0,"2,631","51,162",> 100%
National,,All,2018-19,36,5.5,5.2,5,5,12,"2,585",0,"2,597","51,836",> 100%
National,,All,2018-19,37,5.5,5.2,4.9,4.9,16,"2,515",0,"2,531","51,633",> 100%
National,,All,2018-19,38,5.5,5.2,5.3,5.3,14,"2,711",0,"2,725","51,757",> 100%
National,,All,2018-19,39,5.6,5.3,5.3,5.3,16,"2,782",0,"2,798","52,757",> 100%
National,,All,2017-18,40,6,5.7,5.8,5.8,16,"3,022",0,"3,038","52,107",> 100%
National,,All,2017-18,41,6.1,5.8,5.9,5.9,18,"3,001",0,"3,019","51,576",> 100%
National,,All,2017-18,42,6.2,5.9,6.1,6.1,28,"3,156",0,"3,184","52,221",> 100%
National,,All,2017-18,43,6.3,6,6.3,6.3,23,"3,279",0,"3,302","52,542",> 100%
National,,All,2017-18,44,6.4,6.1,6.1,6.1,36,"3,215",0,"3,251","53,667",> 100%
National,,All,2017-18,45,6.5,6.2,6.1,6.1,45,"3,180",0,"3,225","53,240",> 100%
National,,All,2017-18,46,6.6,6.3,6.3,6.3,50,"3,315",0,"3,365","53,766",> 100%
National,,All,2017-18,47,6.7,6.4,6,6,48,"3,202",0,"3,250","54,120",> 100%
National,,All,2017-18,48,6.8,6.5,6.5,6.5,83,"3,493",0,"3,576","54,758",> 100%
National,,All,2017-18,49,6.9,6.6,6.6,6.6,118,"3,528",0,"3,646","55,595",> 100%
National,,All,2017-18,50,7,6.7,6.8,6.8,165,"3,759",0,"3,924","57,370",> 100%
National,,All,2017-18,51,7.1,6.8,7.3,7.3,359,"3,987",0,"4,346","59,505",> 100%
National,,All,2017-18,52,7.2,6.9,8.3,8.3,671,"4,418",0,"5,089","61,090",> 100%
National,,All,2017-18,1,7.3,7,9.6,9.6,"1,165","5,156",0,"6,321","66,134",> 100%
National,,All,2017-18,2,7.4,7.1,10.5,10.5,"1,536","5,583",0,"7,119","67,495",> 100%
National,,All,2017-18,3,7.4,7.1,10.9,10.9,"1,626","5,412",0,"7,038","64,647",> 100%
National,,All,2017-18,4,7.5,7.2,10.6,10.6,"1,448","5,187",0,"6,635","62,780",> 100%
National,,All,2017-18,5,7.5,7.2,10.2,10.2,"1,360","4,877",0,"6,237","60,974",> 100%
National,,All,2017-18,6,7.5,7.2,9.7,9.7,"1,243","4,689",0,"5,932","61,110",> 100%
National,,All,2017-18,7,7.6,7.2,9.7,9.7,"1,179","4,599",0,"5,778","59,779",> 100%
National,,All,2017-18,8,7.5,7.2,9.2,9.2,892,"4,426",0,"5,318","57,793",> 100%
National,,All,2017-18,9,7.5,7.2,8.4,8.4,738,"4,044",0,"4,782","56,692",> 100%
National,,All,2017-18,10,7.5,7.2,8,8,507,"4,061",0,"4,568","57,093",> 100%
National,,All,2017-18,11,7.5,7.1,7.6,7.6,444,"3,853",0,"4,297","56,326",> 100%
National,,All,2017-18,12,7.4,7.1,7.4,7.4,345,"3,793",0,"4,138","55,766",> 100%
National,,All,2017-18,13,7.3,7,7.4,7.4,284,"3,779",0,"4,063","54,918",> 100%
National,,All,2017-18,14,7.2,6.9,7.2,7.2,300,"3,698",0,"3,998","55,294",> 100%
National,,All,2017-18,15,7.2,6.8,6.9,6.9,214,"3,590",0,"3,804","55,228",> 100%
National,,All,2017-18,16,7.1,6.7,6.6,6.6,153,"3,430",0,"3,583","54,038",> 100%
National,,All,2017-18,17,7,6.6,6.5,6.5,119,"3,394",0,"3,513","53,727",> 100%
National,,All,2017-18,18,6.8,6.5,6.1,6.1,106,"3,198",0,"3,304","53,741",> 100%
National,,All,2017-18,19,6.7,6.4,5.9,5.9,53,"3,032",0,"3,085","52,105",> 100%
National,,All,2017-18,20,6.6,6.3,5.9,5.9,43,"2,955",0,"2,998","50,618",> 100%
National,,All,2017-18,21,6.5,6.2,5.8,5.8,26,"2,951",0,"2,977","50,929",> 100%
National,,All,2017-18,22,6.4,6.1,5.7,5.7,26,"2,905",0,"2,931","51,045",> 100%
National,,All,2017-18,23,6.3,5.9,5.6,5.6,14,"2,908",0,"2,922","52,001",> 100%
National,,All,2017-18,24,6.2,5.8,5.7,5.7,14,"2,935",0,"2,949","51,387",> 100%
National,,All,2017-18,25,6.1,5.7,5.6,5.6,7,"2,865",0,"2,872","51,044",> 100%
National,,All,2017-18,26,6,5.6,5.7,5.7,9,"2,868",0,"2,877","50,855",> 100%
National,,All,2017-18,27,5.9,5.5,5.4,5.4,10,"2,769",0,"2,779","51,684",> 100%
National,,All,2017-18,28,5.8,5.5,5.4,5.4,5,"2,781",0,"2,786","51,191",> 100%
National,,All,2017-18,29,5.7,5.4,5.4,5.4,8,"2,706",0,"2,714","50,609",> 100%
National,,All,2017-18,30,5.7,5.3,5.4,5.4,12,"2,700",0,"2,712","50,274",> 100%
National,,All,2017-18,31,5.6,5.3,5.3,5.3,4,"2,661",0,"2,665","50,637",> 100%
National,,All,2017-18,32,5.6,5.3,5.3,5.3,10,"2,673",0,"2,683","50,967",> 100%
National,,All,2017-18,33,5.6,5.2,5.2,5.2,5,"2,617",0,"2,622","50,301",> 100%
National,,All,2017-18,34,5.6,5.2,5.4,5.4,10,"2,713",0,"2,723","50,459",> 100%
National,,All,2017-18,35,5.6,5.2,5.2,5.2,6,"2,630",0,"2,636","50,611",> 100%
National,,All,2017-18,36,5.6,5.3,5.5,5.5,6,"2,749",0,"2,755","50,299",> 100%
National,,All,2017-18,37,5.6,5.3,5.4,5.4,8,"2,761",0,"2,769","51,083",> 100%
National,,All,2017-18,38,5.7,5.4,5.5,5.5,11,"2,819",0,"2,830","51,583",> 100%
National,,All,2017-18,39,5.7,5.4,5.5,5.5,14,"2,814",0,"2,828","50,959",> 100%
National,,All,2016-17,40,6.2,5.9,5.9,5.9,18,"3,024",0,"3,042","51,400",> 100%
National,,All,2016-17,41,6.3,6,6.1,6.1,11,"3,193",0,"3,204","52,124",> 100%
National,,All,2016-17,42,6.4,6.1,6.2,6.2,7,"3,178",0,"3,185","51,436",> 100%
National,,All,2016-17,43,6.5,6.2,6.1,6.1,17,"3,130",0,"3,147","51,864",> 100%
National,,All,2016-17,44,6.6,6.3,6,6,16,"3,100",0,"3,116","51,741",> 100%
National,,All,2016-17,45,6.7,6.4,6.1,6.1,19,"3,207",0,"3,226","52,524",> 100%
National,,All,2016-17,46,6.9,6.5,6,6,7,"3,192",0,"3,199","53,442",> 100%
National,,All,2016-17,47,7,6.6,6.2,6.2,22,"3,255",0,"3,277","53,128",> 100%
National,,All,2016-17,48,7.1,6.7,6.5,6.5,34,"3,510",0,"3,544","54,496",> 100%
National,,All,2016-17,49,7.2,6.8,6.6,6.6,33,"3,616",0,"3,649","55,133",> 100%
National,,All,2016-17,50,7.3,7,6.8,6.8,46,"3,778",0,"3,824","55,977",> 100%
National,,All,2016-17,51,7.4,7.1,6.8,6.8,92,"3,737",0,"3,829","56,696",> 100%
National,,All,2016-17,52,7.5,7.1,7.4,7.4,157,"4,105",0,"4,262","57,613",> 100%
National,,All,2016-17,1,7.6,7.2,8.1,8.1,289,"4,558",0,"4,847","59,763",> 100%
National,,All,2016-17,2,7.6,7.3,8,8,368,"4,505",0,"4,873","60,979",> 100%
National,,All,2016-17,3,7.7,7.4,8.4,8.4,373,"4,621",0,"4,994","59,293",> 100%
National,,All,2016-17,4,7.8,7.4,8.3,8.3,367,"4,427",0,"4,794","58,047",> 100%
National,,All,2016-17,5,7.8,7.5,8.2,8.2,351,"4,452",0,"4,803","58,430",> 100%
National,,All,2016-17,6,7.8,7.5,8.2,8.2,419,"4,447",0,"4,866","59,037",> 100%
National,,All,2016-17,7,7.8,7.5,8.5,8.5,545,"4,419",0,"4,964","58,478",> 100%
National,,All,2016-17,8,7.8,7.5,8.5,8.5,605,"4,369",0,"4,974","58,287",> 100%
National,,All,2016-17,9,7.8,7.5,8.4,8.4,534,"4,260",0,"4,794","57,255",> 100%
National,,All,2016-17,10,7.8,7.4,8.2,8.2,472,"4,223",0,"4,695","57,475",> 100%
National,,All,2016-17,11,7.7,7.4,7.9,7.9,376,"4,100",0,"4,476","56,656",> 100%
National,,All,2016-17,12,7.7,7.3,7.7,7.7,319,"4,091",0,"4,410","57,045",> 100%
National,,All,2016-17,13,7.6,7.2,7.6,7.6,333,"3,887",0,"4,220","55,701",> 100%
National,,All,2016-17,14,7.5,7.2,7.4,7.4,266,"3,821",0,"4,087","55,160",> 100%
National,,All,2016-17,15,7.4,7.1,7.3,7.3,208,"3,776",0,"3,984","54,861",> 100%
National,,All,2016-17,16,7.3,7,6.9,6.9,162,"3,489",0,"3,651","53,069",> 100%
National,,All,2016-17,17,7.2,6.9,6.7,6.7,90,"3,458",0,"3,548","53,295",> 100%
National,,All,2016-17,18,7.1,6.7,6.4,6.4,63,"3,308",0,"3,371","52,656",> 100%
National,,All,2016-17,19,7,6.6,6.3,6.3,50,"3,216",0,"3,266","51,985",> 100%
National,,All,2016-17,20,6.8,6.5,6.2,6.2,53,"3,201",0,"3,254","52,480",> 100%
National,,All,2016-17,21,6.7,6.4,6.1,6.1,24,"3,091",0,"3,115","50,970",> 100%
National,,All,2016-17,22,6.6,6.3,5.9,5.9,23,"3,019",0,"3,042","51,256",> 100%
National,,All,2016-17,23,6.5,6.1,6.1,6.1,17,"3,127",0,"3,144","51,417",> 100%
National,,All,2016-17,24,6.4,6,6.1,6.1,19,"3,069",0,"3,088","50,796",> 100%
National,,All,2016-17,25,6.3,5.9,5.9,5.9,15,"2,982",0,"2,997","51,193",> 100%
National,,All,2016-17,26,6.2,5.8,5.9,5.9,10,"2,954",0,"2,964","50,616",> 100%
National,,All,2016-17,27,6.1,5.7,5.6,5.6,18,"2,824",0,"2,842","50,958",> 100%
National,,All,2016-17,28,6,5.7,6.1,6.1,4,"3,047",0,"3,051","49,971",> 100%
